
======================================================================
  CELL: arm=off  corpus=openr1-mix-ext  seed=0  steps=20000
  [off] step  19000  loss 3.8899  lr 3.17e-05
  [off] step  19100  loss 3.7486  lr 3.14e-05
  [off] step  19200  loss 4.1456  lr 3.11e-05
  [off] step  19300  loss 3.6878  lr 3.08e-05
  [off] step  19400  loss 3.8336  lr 3.06e-05
  [off] step  19500  loss 3.9851  lr 3.04e-05
  [off] step  19600  loss 3.8739  lr 3.03e-05
  [off] step  19700  loss 3.7012  lr 3.02e-05
  [off] step  19800  loss 3.8956  lr 3.01e-05
  [off] step  19900  loss 3.6756  lr 3.00e-05
  [off] step  20000  loss 3.8434  lr 3.00e-05

======================================================================
  CELL: arm=per_token  corpus=openr1-mix-ext  seed=0  steps=20000
======================================================================
  [per_token] step      1  loss 10.8780  lr 3.00e-06
  [per_token] step    100  loss 7.4882  lr 3.00e-04
  [per_token] step    200  loss 6.8634  lr 3.00e-04
  [per_token] step    300  loss 6.7081  lr 3.00e-04
  [per_token] step    400  loss 6.0877  lr 3.00e-04
  [per_token] step    500  loss 5.9036  lr 3.00e-04
  [per_token] step    600  loss 5.7110  lr 3.00e-04
  [per_token] step    700  loss 5.9047  lr 2.99e-04
  [per_token] step    800  loss 5.1644  lr 2.99e-04
  [per_token] step    900  loss 5.5932  lr 2.99e-04
  [per_token] step   1000  loss 5.2929  lr 2.99e-04
  [per_token] step   1100  loss 5.4541  lr 2.98e-04
  [per_token] step   1200  loss 5.2270  lr 2.98e-04
  [per_token] step   1300  loss 5.5338  lr 2.98e-04
  [per_token] step   1400  loss 5.3954  lr 2.97e-04
  [per_token] step   1500  loss 4.5453  lr 2.97e-04
  [per_token] step   1600  loss 5.1731  lr 2.96e-04
  [per_token] step   1700  loss 4.9692  lr 2.96e-04
  [per_token] step   1800  loss 5.3212  lr 2.95e-04
  [per_token] step   1900  loss 4.7515  lr 2.95e-04
  [per_token] step   2000  loss 4.5551  lr 2.94e-04
  [per_token] step   2100  loss 4.9781  lr 2.93e-04
  [per_token] step   2200  loss 4.4686  lr 2.93e-04
  [per_token] step   2300  loss 4.4986  lr 2.92e-04
  [per_token] step   2400  loss 4.5604  lr 2.91e-04
  [per_token] step   2500  loss 4.9094  lr 2.90e-04
  [per_token] step   2600  loss 4.9304  lr 2.90e-04
  [per_token] step   2700  loss 4.4727  lr 2.89e-04
  [per_token] step   2800  loss 4.3372  lr 2.88e-04
  [per_token] step   2900  loss 4.9243  lr 2.87e-04
  [per_token] step   3000  loss 4.5307  lr 2.86e-04
  [per_token] step   3100  loss 4.7166  lr 2.85e-04
  [per_token] step   3200  loss 4.3480  lr 2.84e-04
  [per_token] step   3300  loss 4.7250  lr 2.83e-04
  [per_token] step   3400  loss 4.7040  lr 2.82e-04
  [per_token] step   3500  loss 4.3934  lr 2.81e-04
  [per_token] step   3600  loss 4.2020  lr 2.80e-04
  [per_token] step   3700  loss 4.6089  lr 2.79e-04
  [per_token] step   3800  loss 4.5093  lr 2.78e-04
  [per_token] step   3900  loss 4.3423  lr 2.76e-04
  [per_token] step   4000  loss 4.6706  lr 2.75e-04
  [per_token] step   4100  loss 4.4588  lr 2.74e-04
  [per_token] step   4200  loss 4.5005  lr 2.73e-04
  [per_token] step   4300  loss 4.0883  lr 2.71e-04
  [per_token] step   4400  loss 4.5217  lr 2.70e-04
  [per_token] step   4500  loss 4.3307  lr 2.69e-04
  [per_token] step   4600  loss 4.4830  lr 2.67e-04
  [per_token] step   4700  loss 4.4795  lr 2.66e-04
  [per_token] step   4800  loss 4.4616  lr 2.65e-04
  [per_token] step   4900  loss 4.5478  lr 2.63e-04
  [per_token] step   5000  loss 4.2834  lr 2.62e-04
  [per_token] step   5100  loss 4.8749  lr 2.60e-04
  [per_token] step   5200  loss 4.0146  lr 2.59e-04
  [per_token] step   5300  loss 4.4128  lr 2.57e-04
  [per_token] step   5400  loss 4.3199  lr 2.55e-04
  [per_token] step   5500  loss 4.2654  lr 2.54e-04
  [per_token] step   5600  loss 4.4282  lr 2.52e-04
  [per_token] step   5700  loss 4.1462  lr 2.51e-04
  [per_token] step   5800  loss 4.3855  lr 2.49e-04
  [per_token] step   5900  loss 4.6749  lr 2.47e-04
  [per_token] step   6000  loss 4.3582  lr 2.46e-04
  [per_token] step   6100  loss 4.4472  lr 2.44e-04
  [per_token] step   6200  loss 3.8548  lr 2.42e-04
  [per_token] step   6300  loss 4.0942  lr 2.40e-04
  [per_token] step   6400  loss 4.5462  lr 2.39e-04
  [per_token] step   6500  loss 4.2332  lr 2.37e-04
  [per_token] step   6600  loss 4.2965  lr 2.35e-04
  [per_token] step   6700  loss 4.5621  lr 2.33e-04
  [per_token] step   6800  loss 3.5103  lr 2.31e-04
  [per_token] step   6900  loss 4.5532  lr 2.29e-04
  [per_token] step   7000  loss 4.1900  lr 2.28e-04
  [per_token] step   7100  loss 4.1039  lr 2.26e-04
  [per_token] step   7200  loss 4.1058  lr 2.24e-04
  [per_token] step   7300  loss 4.2108  lr 2.22e-04
  [per_token] step   7400  loss 4.0609  lr 2.20e-04
  [per_token] step   7500  loss 3.7843  lr 2.18e-04
  [per_token] step   7600  loss 3.9231  lr 2.16e-04
  [per_token] step   7700  loss 4.2787  lr 2.14e-04
  [per_token] step   7800  loss 3.8241  lr 2.12e-04
  [per_token] step   7900  loss 4.2798  lr 2.10e-04
  [per_token] step   8000  loss 4.1224  lr 2.08e-04
  [per_token] step   8100  loss 3.9639  lr 2.06e-04
  [per_token] step   8200  loss 3.9942  lr 2.04e-04
  [per_token] step   8300  loss 4.2640  lr 2.02e-04
  [per_token] step   8400  loss 4.2561  lr 2.00e-04
  [per_token] step   8500  loss 3.9284  lr 1.98e-04
  [per_token] step   8600  loss 3.6532  lr 1.96e-04
  [per_token] step   8700  loss 3.9941  lr 1.94e-04
  [per_token] step   8800  loss 3.7087  lr 1.91e-04
  [per_token] step   8900  loss 3.8862  lr 1.89e-04
  [per_token] step   9000  loss 4.1849  lr 1.87e-04
  [per_token] step   9100  loss 4.0476  lr 1.85e-04
  [per_token] step   9200  loss 3.8675  lr 1.83e-04
  [per_token] step   9300  loss 3.5967  lr 1.81e-04
  [per_token] step   9400  loss 4.2268  lr 1.79e-04
  [per_token] step   9500  loss 3.7749  lr 1.77e-04
  [per_token] step   9600  loss 4.2701  lr 1.75e-04
  [per_token] step   9700  loss 4.0016  lr 1.72e-04
  [per_token] step   9800  loss 4.0829  lr 1.70e-04
  [per_token] step   9900  loss 4.4777  lr 1.68e-04
  [per_token] step  10000  loss 3.9936  lr 1.66e-04
  [per_token] step  10100  loss 4.0338  lr 1.64e-04
  [per_token] step  10200  loss 4.1168  lr 1.62e-04
  [per_token] step  10300  loss 4.0679  lr 1.60e-04
  [per_token] step  10400  loss 4.0055  lr 1.58e-04
  [per_token] step  10500  loss 4.0972  lr 1.55e-04
  [per_token] step  10600  loss 3.7865  lr 1.53e-04
  [per_token] step  10700  loss 4.0960  lr 1.51e-04
  [per_token] step  10800  loss 4.0913  lr 1.49e-04
  [per_token] step  10900  loss 3.6899  lr 1.47e-04
  [per_token] step  11000  loss 3.9475  lr 1.45e-04
  [per_token] step  11100  loss 3.7721  lr 1.43e-04
  [per_token] step  11200  loss 4.2146  lr 1.41e-04
  [per_token] step  11300  loss 4.0705  lr 1.39e-04
  [per_token] step  11400  loss 3.8448  lr 1.36e-04
  [per_token] step  11500  loss 3.9442  lr 1.34e-04
  [per_token] step  11600  loss 3.8940  lr 1.32e-04
  [per_token] step  11700  loss 4.3513  lr 1.30e-04
  [per_token] step  11800  loss 3.9681  lr 1.28e-04
  [per_token] step  11900  loss 3.7364  lr 1.26e-04
  [per_token] step  12000  loss 3.7119  lr 1.24e-04
  [per_token] step  12100  loss 3.6324  lr 1.22e-04
  [per_token] step  12200  loss 3.7629  lr 1.20e-04
  [per_token] step  12300  loss 3.9965  lr 1.18e-04
  [per_token] step  12400  loss 3.9137  lr 1.16e-04
  [per_token] step  12500  loss 4.0162  lr 1.14e-04
  [per_token] step  12600  loss 3.4757  lr 1.12e-04
  [per_token] step  12700  loss 3.9294  lr 1.10e-04
  [per_token] step  12800  loss 3.9710  lr 1.08e-04
  [per_token] step  12900  loss 3.9489  lr 1.06e-04
  [per_token] step  13000  loss 3.4812  lr 1.04e-04
  [per_token] step  13100  loss 3.3875  lr 1.02e-04
  [per_token] step  13200  loss 4.0467  lr 1.01e-04
  [per_token] step  13300  loss 3.8060  lr 9.87e-05
  [per_token] step  13400  loss 3.9388  lr 9.69e-05
  [per_token] step  13500  loss 3.6823  lr 9.51e-05
  [per_token] step  13600  loss 3.9004  lr 9.32e-05
  [per_token] step  13700  loss 3.5356  lr 9.14e-05
  [per_token] step  13800  loss 3.8788  lr 8.97e-05
  [per_token] step  13900  loss 3.9774  lr 8.79e-05
  [per_token] step  14000  loss 3.8247  lr 8.62e-05
  [per_token] step  14100  loss 3.6010  lr 8.44e-05
  [per_token] step  14200  loss 3.9818  lr 8.27e-05
  [per_token] step  14300  loss 3.8900  lr 8.11e-05
  [per_token] step  14400  loss 4.3084  lr 7.94e-05
  [per_token] step  14500  loss 3.9062  lr 7.78e-05
  [per_token] step  14600  loss 3.9264  lr 7.62e-05
  [per_token] step  14700  loss 3.7287  lr 7.46e-05
  [per_token] step  14800  loss 4.0266  lr 7.30e-05
  [per_token] step  14900  loss 3.6745  lr 7.14e-05
  [per_token] step  15000  loss 3.9240  lr 6.99e-05
  [per_token] step  15100  loss 3.4491  lr 6.84e-05
  [per_token] step  15200  loss 3.7225  lr 6.69e-05
  [per_token] step  15300  loss 3.9540  lr 6.55e-05
  [per_token] step  15400  loss 4.0229  lr 6.41e-05
  [per_token] step  15500  loss 4.0086  lr 6.27e-05
  [per_token] step  15600  loss 4.1741  lr 6.13e-05
  [per_token] step  15700  loss 3.8820  lr 5.99e-05
  [per_token] step  15800  loss 3.8148  lr 5.86e-05
  [per_token] step  15900  loss 3.6135  lr 5.73e-05
  [per_token] step  16000  loss 4.0342  lr 5.60e-05
  [per_token] step  16100  loss 3.9059  lr 5.48e-05
  [per_token] step  16200  loss 3.5038  lr 5.36e-05
  [per_token] step  16300  loss 3.3544  lr 5.24e-05
