[calibration-only] launching 5 calibration cells (steps=per-group STEP_BUDGET pins, device=cuda, results_dir=/home/nvidia/chapter2/capability_separation/results)
  [A6__unconstrained__seed0] step 29000/40000  loss=0.2311
  [A6__unconstrained__seed0] step 29500/40000  loss=0.1616
  [A6__unconstrained__seed0] step 30000/40000  loss=0.0572
  [A6__unconstrained__seed0] step 30500/40000  loss=0.2256
  [A6__unconstrained__seed0] step 31000/40000  loss=0.0514
  [A6__unconstrained__seed0] step 31500/40000  loss=0.1931
  [A6__unconstrained__seed0] step 32000/40000  loss=0.1442
  [A6__unconstrained__seed0] step 32500/40000  loss=0.1591
  [A6__unconstrained__seed0] step 33000/40000  loss=0.0040
  [A6__unconstrained__seed0] step 33500/40000  loss=0.1557
  [A6__unconstrained__seed0] step 34000/40000  loss=0.0443
  [A6__unconstrained__seed0] step 34500/40000  loss=0.1840
  [A6__unconstrained__seed0] step 35000/40000  loss=0.0436
  [A6__unconstrained__seed0] step 35500/40000  loss=0.0049
  [A6__unconstrained__seed0] step 36000/40000  loss=0.1480
  [A6__unconstrained__seed0] step 36500/40000  loss=0.0423
  [A6__unconstrained__seed0] step 37000/40000  loss=0.0802
  [A6__unconstrained__seed0] step 37500/40000  loss=0.0876
  [A6__unconstrained__seed0] step 38000/40000  loss=0.0057
  [A6__unconstrained__seed0] step 38500/40000  loss=0.1917
  [A6__unconstrained__seed0] step 39000/40000  loss=0.0050
  [A6__unconstrained__seed0] step 39500/40000  loss=0.0845
  [A6__unconstrained__seed0] step 40000/40000  loss=0.0823
[calibration-only] wrote calibration report: real_rate_per_cell=0.0408 GPU-h/cell, steps_per_group={'S3': 8000, 'S4': 20000, 'A5': 20000, 'S5': 8000, 'A6': 40000} -> /home/nvidia/chapter2/capability_separation/results/calibration_report.json
[supervisor] calibration_report.json present -- done
